name,location,currency,price,participants,organizer,period,invite,tags,logo_link,hackathon_link
[See desc for more info] PlanetUnity Winter '23 - WORLD,SEE MORE INFO,$,0,4,Planet Unity,"Feb 17 - 25, 2024",False,"Beginner Friendly, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/405/240/datas/medium_square.png,https://planetunity-winter-23-world.devpost.com
Hoya Hacks 2024,Healey Family Student Center,$,1600,7,Hoya Hacks,"Jan 26 - 28, 2024",False,"Beginner Friendly, Open Ended, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/507/923/datas/medium_square.png,https://hoya-hacks-2024.devpost.com
PyraHacks 2023,Online,$,22470,117,Memphis Hack Club,"Jul 28 - 30, 2023",False,"Beginner Friendly, Education, Health",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/357/507/datas/medium_square.png,https://pyrahacks-17350.devpost.com
STEAM Fest Mini Hackathon,Online,$,119800,81,The STEAM Boat,"Jun 16 - 24, 2023",False,"Design, Gaming, Mobile",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/019/datas/medium_square.png,https://steam-fest-mini-hackathon.devpost.com
LearnHacks,Online,$,4500,127,LearnHacks,"Jun 23 - 25, 2023",False,"Beginner Friendly, Low/No Code, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/471/260/datas/medium_square.png,https://colearn.devpost.com
CodeXplode: Ignite the Coding Revolution,Бакалавриат НГУ,$,0,5,GIJC,"Jun 19, 2023",False,"Databases, E-commerce/Retail, Mobile",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/512/315/datas/medium_square.jpg,https://hackxcel2023.devpost.com
UC Berkeley AI Hackathon,"MLK Student Union - Berkeley, CA",$,228700,818,Cal Hacks,"Jun 17 - 18, 2023",False,Machine Learning/AI,//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/269/datas/medium_square.png,https://uc-berkeley-ai-hackathon.devpost.com
Future Health Pioneers: KNIME Digital Health Innovation Hackathon,"Richmond, VA, USA",$,0,17,VIrginia Commonwealth University,"Jun 17 - 18, 2023",False,"Databases, Health, Machine Learning/AI",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/165/datas/medium_square.jpg,https://knime-vcu-school-of-pharmacy.devpost.com
Save our Air Hackathon,rkey,$,1600,9,rkey,"Jun 24 - 25, 2023",True,"Machine Learning/AI, Robotic Process Automation, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/501/396/datas/medium_square.jpeg,https://save-our-air-nyc.devpost.com
Pinecone Hackathon: Jumpstart Real-World AI Applications,Online,$,101680,1418,Pinecone,"Jun 19 - 26, 2023",False,"Databases, Machine Learning/AI, Web",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/503/904/datas/medium_square.png,https://pinecone-hackathon.devpost.com
LingHacks V,Online,$,22845,99,LingHacks,"Jun 24 - 25, 2023",False,"Beginner Friendly, Machine Learning/AI, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/503/458/datas/medium_square.png,https://linghacksv.devpost.com
Niantic 8th Wall Hackathon,Online,£,8500,61,Digital Catapult,"Jun 07 - 09, 2023",True,"AR/VR, Mobile",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/499/207/datas/medium_square.png,https://8th-wall-hackathon.devpost.com
Space City Hacks 2023,Online,$,0,56,Space City Hacks,"Jun 19, 2023",False,"Beginner Friendly, Education, Social Good",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/498/697/datas/medium_square.png,https://space-city-hacks-2023.devpost.com
A Midsummer's Hack,Online,$CAD,250,18,Project Tech Conferences,"Jun 03 - 04, 2023",False,Beginner Friendly,//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/496/428/datas/medium_square.png,https://a-midsummers-hack.devpost.com
Hack Spartan 2023,Online,$,300,22,Sparta High School,"Jun 04, 2023",False,"Beginner Friendly, Design, Low/No Code",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/487/427/datas/medium_square.png,https://hack-spartan-2023.devpost.com
BuildingBloCS 2023,NUS ICube Building,$,2450,137,BuildingBloCS,"Jun 01 - 04, 2023",False,Machine Learning/AI,//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/494/357/datas/medium_square.png,https://buildingblocs-2023.devpost.com
Charleston Summer Hacks - Generative AI Hack,Charleston Tech Center,$,0,52,Charleston Digital Corridor,"Jun 12 - 21, 2023",False,"Beginner Friendly, Machine Learning/AI, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/488/283/datas/medium_square.png,https://charlestonhacks.devpost.com
Generative AI Hackathon: Revolutionize the Future of Work & Business,Hacker Dojo,$,700,131,FutureProof,"Jun 23 - 25, 2023",True,"Enterprise, Machine Learning/AI, Open Ended",//d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/469/476/datas/medium_square.png,https://generative-ai-hackathon.devpost.com
